ID,Strain,Nose,Max,Eye,Octic,Mandible
undeterminedSex_ABLR_K1412-19-e15_align,Casq2,0.911978579,0.980326429,0.782923736,1.42870857,1.750807884
undeterminedSex_ABLR_K1413-3-e15_align,Casq2,0.979672321,1.143706134,2.499344923,2.514218356,1.318829222
undeterminedSex_ABLR_K1413-4-e15_align,Casq2,0.739020883,0.971774795,1.893130917,2.620537338,1.586933871
undeterminedSex_ABLR_K1502-17-e15_align,Casq2,0.931340168,0.934971088,0.768896433,2.148710333,1.446336715
undeterminedSex_ABZG_K5674-15-e15_align,Casq2,1.031449846,0.917179554,1.210671286,1.165311053,1.105913511
Male_ACBS_K5133-13-e15_align,Casr,1.173811122,1.020739115,1.367065386,1.174609488,0.908385175
Male_ACBS_K5133-19-e15_align,Casr,0.916718651,1.129729074,1.074545134,1.730414719,1.403028811
Male_ACBS_K5133-26-e15_align,Casr,0.675772477,0.784911163,0.995681805,3.234861152,1.368304997
Male_ACBS_K5133-8-e15_align,Casr,1.126619403,0.650895797,1.262002317,1.352611746,1.20392613
undeterminedSex_AAPN_K1026-21-e15_align,Cbx4,0.63682581,0.943140363,2.07719227,1.818099474,0.790483485
undeterminedSex_AAPN_K1078-31-e15_align,Cbx4,0.459367844,0.902968046,1.716279891,2.686061331,0.714567533
undeterminedSex_AAPN_K1078-8-e15_align,Cbx4,0.70633864,0.653829712,0.690961407,1.514856918,1.066914589
Female_CR1616-240-2_Ccdc186_align,Ccdc186,1.267391889,1.965780102,3.441811156,4.697926744,4.0999281
Male_CR1616-186-3_Ccdc186_align,Ccdc186,1.676918952,1.376227752,1.505041881,2.314152227,1.556322176
Male_CR1616-244-2_Ccdc186_align,Ccdc186,1.676356064,2.094837598,3.2400368,9.249612797,3.152852932
Male_CR1616-244-5_Ccdc186_align,Ccdc186,1.223748461,1.049802515,0.791292702,1.372600445,1.221043191
Female_ACZF_K4366-32-e15_align,Cdkn1c,1.391294996,0.87653595,0.993211514,2.50611653,1.692139184
Female_ACZF_K4668-8-e15_align,Cdkn1c,0.960908984,0.782436398,1.089339979,2.493055537,1.206849632
Male_ACZF_K4760-13-e15_align,Cdkn1c,0.646959132,0.804625188,0.942241068,0.923767187,1.111030756
Male_ACZF_K4760-8-e15_align,Cdkn1c,1.267982907,1.526392963,1.496388624,2.764322501,0.938518313
Male_ACZF_K4767-5-e15_align,Cdkn1c,2.223798977,1.483909582,3.125939947,3.145142451,1.592016867
Female_ABOV_N34091_Chst14_align,Chst14,0.238706949,0.574226411,1.212547215,1.681168829,0.706773356
